time,x,y,z,vx,vy,vz
1.180000000000000077e-01,-6.553102186840539800e-02,-6.586004778190512887e-02,5.884154564553631950e-01,-1.013327416051091001e+00,-1.018415250320027887e+00,9.098654202104789590e+00
1.190000000000000085e-01,-6.655047157922402978e-02,-6.688461606653514635e-02,5.975690767457496611e-01,-1.019449710818636001e+00,-1.024568284630024140e+00,9.153620290386500713e+00
1.199999999999999956e-01,-6.757599737513934890e-02,-6.791529094378931375e-02,6.067772481273310259e-01,-1.025525795915314342e+00,-1.030674877254167177e+00,9.208171381581415460e+00
1.209999999999999964e-01,-6.860755311956244495e-02,-6.895202604543067271e-02,6.160395562604888964e-01,-1.031555744423091614e+00,-1.036735101641360846e+00,9.262308133157898027e+00
1.219999999999999973e-01,-6.964509275468139249e-02,-6.999477508239479451e-02,6.253555875142192688e-01,-1.037539635118953862e+00,-1.042749036964124354e+00,9.316031253730379547e+00
1.229999999999999982e-01,-7.068857030705208433e-02,-7.104349185040864656e-02,6.347249290163421431e-01,-1.043477552370693173e+00,-1.048716768013853162e+00,9.369341502122903620e+00
1.239999999999999991e-01,-7.173793989308457908e-02,-7.209813023550452893e-02,6.441471687027729986e-01,-1.049369586032491197e+00,-1.054638385095879816e+00,9.422239686430881278e+00
1.250000000000000000e-01,-7.279315572442493498e-02,-7.315864421942891438e-02,6.536218953658545772e-01,-1.055215831340360122e+00,-1.060513983924388670e+00,9.474726663081570521e+00
1.260000000000000009e-01,-7.385417211323243303e-02,-7.422498788494616417e-02,6.631486987017483070e-01,-1.061016388807494826e+00,-1.066343665517243133e+00,9.526803335893758273e+00
1.270000000000000018e-01,-7.492094347735202275e-02,-7.529711542103693922e-02,6.727271693568854793e-01,-1.066771364119593724e+00,-1.072127536090780708e+00,9.578470655137182987e+00
1.280000000000000027e-01,-7.599342434538222668e-02,-7.637498112799157024e-02,6.823568989734776213e-01,-1.072480868030198486e+00,-1.077865706954627800e+00,9.629729616592129560e+00
1.290000000000000036e-01,-7.707156936163833683e-02,-7.745853942239816492e-02,6.920374802340873988e-01,-1.078145016256110811e+00,-1.083558294406590461e+00,9.680581260609727678e+00
1.300000000000000044e-01,-7.815533329101126414e-02,-7.854774484202582674e-02,7.017685069052607139e-01,-1.083763929372930201e+00,-1.089205419627668592e+00,9.731026671173342635e+00
1.310000000000000053e-01,-7.924467102372202698e-02,-7.964255205060306875e-02,7.115495738802223302e-01,-1.089337732710768947e+00,-1.094807208577246671e+00,9.781066974961573735e+00
1.320000000000000062e-01,-8.033953757997221168e-02,-8.074291584249157494e-02,7.213802772206355796e-01,-1.094866556250189138e+00,-1.100363791888508747e+00,9.830703340413249336e+00
1.330000000000000071e-01,-8.143988811449062726e-02,-8.184879114725569782e-02,7.312602141974304804e-01,-1.100350534518411250e+00,-1.105875304764125433e+00,9.879936976794869707e+00
1.340000000000000080e-01,-8.254567792097645962e-02,-8.296013303412795581e-02,7.411889833307013786e-01,-1.105789806485835802e+00,-1.111341886872256213e+00,9.928769133270886726e+00
1.350000000000000089e-01,-8.365686243643938313e-02,-8.407689671637087747e-02,7.511661844286786627e-01,-1.111184515462929401e+00,-1.116763682242917888e+00,9.977201097977244970e+00
1.360000000000000098e-01,-8.477339724543689337e-02,-8.519903755553563662e-02,7.611914186257772164e-01,-1.116534808997511785e+00,-1.122140839164755821e+00,1.002523419709855368e+01
1.370000000000000107e-01,-8.589523808420938822e-02,-8.632651106561790855e-02,7.712642884197264959e-01,-1.121840838772490523e+00,-1.127473510082265262e+00,1.007286979394926973e+01
1.380000000000000115e-01,-8.702234084471346942e-02,-8.745927291711140528e-02,7.813843977077857827e-01,-1.127102760504080647e+00,-1.132761851493499172e+00,1.012010928805926468e+01
